Node257	 	 x:-0.6	 y:-0.2	 	0
Node258	 	 x:-0.5	 y:-0.2	 	0
Node259	 	 x:-0.4	 y:-0.2	 	0
Node260	 	 x:-0.3	 y:-0.2	 	0
Node261	 	 x:-0.2	 y:-0.2	 	0
Node262	 	 x:-0.1	 y:-0.2	 	0
Node263	 	 x:0	 y:-0.2	 	0
Node264	 	 x:0.1	 y:-0.2	 	0
Node265	 	 x:0.2	 y:-0.2	 	0
Node266	 	 x:0.3	 y:-0.2	 	0
Node267	 	 x:0.4	 y:-0.2	 	1
Node268	 	 x:0.5	 y:-0.2	 	1
Node269	 	 x:0.6	 y:-0.2	 	1
Node270	 	 x:0.7	 y:-0.2	 	1
Node271	 	 x:0.8	 y:-0.2	 	1
Node272	 	 x:-0.8	 y:-0.3	 	1
Node273	 	 x:-0.7	 y:-0.3	 	1
Node274	 	 x:-0.6	 y:-0.3	 	1
Node275	 	 x:-0.5	 y:-0.3	 	1
Node276	 	 x:-0.4	 y:-0.3	 	1
Node277	 	 x:-0.3	 y:-0.3	 	0
Node278	 	 x:-0.2	 y:-0.3	 	0
Node279	 	 x:-0.1	 y:-0.3	 	0
Node280	 	 x:0	 y:-0.3	 	0
Node281	 	 x:0.1	 y:-0.3	 	0
Node282	 	 x:0.2	 y:-0.3	 	0
Node283	 	 x:0.3	 y:-0.3	 	0
Node284	 	 x:0.4	 y:-0.3	 	1
Node285	 	 x:0.5	 y:-0.3	 	1
Node286	 	 x:0.6	 y:-0.3	 	1
Node287	 	 x:0.7	 y:-0.3	 	1
Node288	 	 x:0.8	 y:-0.3	 	1
Node289	 	 x:-0.8	 y:-0.4	 	1
Node290	 	 x:-0.7	 y:-0.4	 	1
Node291	 	 x:-0.6	 y:-0.4	 	1
Node292	 	 x:-0.5	 y:-0.4	 	1
Node293	 	 x:-0.4	 y:-0.4	 	1
Node294	 	 x:-0.3	 y:-0.4	 	0
Node295	 	 x:-0.2	 y:-0.4	 	0
Node296	 	 x:-0.1	 y:-0.4	 	0
Node297	 	 x:0	 y:-0.4	 	0
Node298	 	 x:0.1	 y:-0.4	 	0
Node299	 	 x:0.2	 y:-0.4	 	0
Node300	 	 x:0.3	 y:-0.4	 	0
Node301	 	 x:0.4	 y:-0.4	 	1
Node302	 	 x:0.5	 y:-0.4	 	1
Node303	 	 x:0.6	 y:-0.4	 	1
Node304	 	 x:0.7	 y:-0.4	 	1
Node305	 	 x:0.8	 y:-0.4	 	1
Node306	 	 x:-0.8	 y:-0.5	 	1
Node307	 	 x:-0.7	 y:-0.5	 	1
Node308	 	 x:-0.6	 y:-0.5	 	1
Node309	 	 x:-0.5	 y:-0.5	 	1
Node310	 	 x:-0.4	 y:-0.5	 	1
Node311	 	 x:-0.3	 y:-0.5	 	0
Node312	 	 x:-0.2	 y:-0.5	 	0
Node313	 	 x:-0.1	 y:-0.5	 	0
Node314	 	 x:0	 y:-0.5	 	0
Node315	 	 x:0.1	 y:-0.5	 	0
Node316	 	 x:0.2	 y:-0.5	 	0
Node317	 	 x:0.3	 y:-0.5	 	0
Node318	 	 x:0.4	 y:-0.5	 	1
Node319	 	 x:0.5	 y:-0.5	 	1
Node320	 	 x:0.6	 y:-0.5	 	1
Node321	 	 x:0.7	 y:-0.5	 	1
Node322	 	 x:0.8	 y:-0.5	 	1
Node323	 	 x:-0.8	 y:-0.6	 	1
Node324	 	 x:-0.7	 y:-0.6	 	1
Node325	 	 x:-0.6	 y:-0.6	 	1
Node326	 	 x:-0.5	 y:-0.6	 	1
Node327	 	 x:-0.4	 y:-0.6	 	1
Node328	 	 x:-0.3	 y:-0.6	 	1
Node329	 	 x:-0.2	 y:-0.6	 	1
Node330	 	 x:-0.1	 y:-0.6	 	1
Node331	 	 x:0	 y:-0.6	 	1
Node332	 	 x:0.1	 y:-0.6	 	1
Node333	 	 x:0.2	 y:-0.6	 	1
Node334	 	 x:0.3	 y:-0.6	 	1
Node335	 	 x:0.4	 y:-0.6	 	1
Node336	 	 x:0.5	 y:-0.6	 	1
Node337	 	 x:0.6	 y:-0.6	 	1
Node338	 	 x:0.7	 y:-0.6	 	1
Node339	 	 x:0.8	 y:-0.6	 	1
Node340	 	 x:-0.8	 y:-0.7	 	0
Node341	 	 x:-0.7	 y:-0.7	 	0
Node342	 	 x:-0.6	 y:-0.7	 	0
Node343	 	 x:-0.5	 y:-0.7	 	0
Node344	 	 x:-0.4	 y:-0.7	 	0
Node345	 	 x:-0.3	 y:-0.7	 	1
Node346	 	 x:-0.2	 y:-0.7	 	1
Node347	 	 x:-0.1	 y:-0.7	 	1
Node348	 	 x:0	 y:-0.7	 	1
Node349	 	 x:0.1	 y:-0.7	 	1
Node350	 	 x:0.2	 y:-0.7	 	1
Node351	 	 x:0.3	 y:-0.7	 	1
Node352	 	 x:0.4	 y:-0.7	 	1
Node353	 	 x:0.5	 y:-0.7	 	1
Node354	 	 x:0.6	 y:-0.7	 	1
Node355	 	 x:0.7	 y:-0.7	 	1
Node356	 	 x:0.8	 y:-0.7	 	1
Node357	 	 x:-0.8	 y:-0.8	 	0
Node358	 	 x:-0.7	 y:-0.8	 	0
Node359	 	 x:-0.6	 y:-0.8	 	0
Node360	 	 x:-0.5	 y:-0.8	 	0
Node361	 	 x:-0.4	 y:-0.8	 	0
Node362	 	 x:-0.3	 y:-0.8	 	1
Node363	 	 x:-0.2	 y:-0.8	 	1
Node364	 	 x:-0.1	 y:-0.8	 	1
Node365	 	 x:0	 y:-0.8	 	1
Node366	 	 x:0.1	 y:-0.8	 	1
Node367	 	 x:0.2	 y:-0.8	 	1
Node368	 	 x:0.3	 y:-0.8	 	1
Node369	 	 x:0.4	 y:-0.8	 	1
Node370	 	 x:0.5	 y:-0.8	 	1
Node371	 	 x:0.6	 y:-0.8	 	1
Node372	 	 x:0.7	 y:-0.8	 	1
Node373	 	 x:0.8	 y:-0.8	 	1
Node374	 	 x:-0.8	 y:-0.9	 	0
Node375	 	 x:-0.7	 y:-0.9	 	0
Node376	 	 x:-0.6	 y:-0.9	 	0
Node377	 	 x:-0.5	 y:-0.9	 	0
Node378	 	 x:-0.4	 y:-0.9	 	0
Node379	 	 x:-0.3	 y:-0.9	 	1
Node380	 	 x:-0.2	 y:-0.9	 	1
Node381	 	 x:-0.1	 y:-0.9	 	1
Node382	 	 x:0	 y:-0.9	 	1
Node383	 	 x:0.1	 y:-0.9	 	1
Node384	 	 x:0.2	 y:-0.9	 	1
Node385	 	 x:0.3	 y:-0.9	 	1
Node386	 	 x:0.4	 y:-0.9	 	0
Node387	 	 x:0.5	 y:-0.9	 	0
Node388	 	 x:0.6	 y:-0.9	 	0
Node389	 	 x:0.7	 y:-0.9	 	1
Node390	 	 x:0.8	 y:-0.9	 	1
Node391	 	 x:-0.8	 y:-1	 	0
Node392	 	 x:-0.7	 y:-1	 	0
Node393	 	 x:-0.6	 y:-1	 	0
